shipment_id,order_id,destination_country,shipping_method,departure_date,arrival_date,transit_days,customs_cleared,shipping_cost_inr,container_number
SHIP0000704,ORD00000758,UK,Air Cargo,2022-12-21,2023-01-12,22,Yes,73441.19,CONT413326
SHIP0000705,ORD00000759,UK,Road Transport,2022-06-06,2022-06-27,21,Yes,92245.92,CONT349150
SHIP0000706,ORD00000760,UK,Sea Freight,2022-01-14,2022-02-06,23,Yes,223562.34,CONT709863
SHIP0000707,ORD00000761,UK,Air Cargo,2024-01-26,2024-02-11,16,Yes,269865.09,CONT498752
SHIP0000708,ORD00000762,South Africa,Sea Freight,2023-11-08,2023-11-23,15,Pending,53030.89,CONT557807
SHIP0000709,ORD00000763,South Africa,Air Cargo,2023-10-10,2023-10-28,18,Yes,105708.82,CONT861402
SHIP0000710,ORD00000764,South Africa,Air Cargo,2022-08-11,2022-08-29,18,Yes,139491.1,CONT652115
SHIP0000711,ORD00000765,South Africa,Sea Freight,2023-10-20,2023-11-09,20,Yes,297199.64,CONT900851
SHIP0000712,ORD00000766,South Africa,Sea Freight,2024-10-27,2024-11-16,20,Yes,213049.26,CONT643533
SHIP0000713,ORD00000767,South Africa,Road Transport,2024-04-10,2024-04-27,17,Yes,140205.23,CONT396961
SHIP0000714,ORD00000768,South Africa,Sea Freight,2024-02-20,2024-03-01,10,Yes,100421.18,CONT787757
SHIP0000715,ORD00000769,South Africa,Road Transport,2023-09-03,2023-09-27,24,No,106693.68,CONT905388
SHIP0000716,ORD00000770,South Africa,Road Transport,2023-04-28,2023-05-16,18,Yes,62370.68,CONT745807
SHIP0000717,ORD00000771,Bahrain,Sea Freight,2022-09-23,2022-09-27,4,Yes,298665.35,CONT241520
SHIP0000718,ORD00000772,Bahrain,Sea Freight,2022-11-24,2022-12-02,8,Yes,295559.08,CONT263164
SHIP0000719,ORD00000773,Bahrain,Road Transport,2023-03-03,2023-03-10,7,Yes,52796.86,CONT862271
SHIP0000720,ORD00000774,Bahrain,Road Transport,2023-01-13,2023-01-18,5,Yes,117699.87,CONT439188
SHIP0000721,ORD00000775,Bahrain,Air Cargo,2022-06-28,2022-07-06,8,Yes,55111.5,CONT895515
SHIP0000722,ORD00000776,Saudi Arabia,Road Transport,2022-04-08,2022-04-11,3,Pending,125434.79,CONT609006
SHIP0000723,ORD00000777,Saudi Arabia,Sea Freight,2024-08-11,2024-08-14,3,Yes,275313.87,CONT536883
SHIP0000724,ORD00000778,Saudi Arabia,Air Cargo,2022-03-19,2022-03-22,3,Yes,268693.53,CONT259081
SHIP0000725,ORD00000779,Saudi Arabia,Sea Freight,2023-04-08,2023-04-12,4,Yes,221236.22,CONT901402
SHIP0000726,ORD00000780,Saudi Arabia,Road Transport,2023-10-15,2023-10-22,7,Yes,296785.53,CONT856903
SHIP0000727,ORD00000781,Saudi Arabia,Air Cargo,2023-05-21,2023-05-28,7,Yes,236502.8,CONT436347
SHIP0000728,ORD00000782,Saudi Arabia,Sea Freight,2022-12-25,2022-12-30,5,Yes,110354.59,CONT149280
SHIP0000729,ORD00000783,Saudi Arabia,Sea Freight,2022-12-15,2022-12-18,3,Pending,258735.64,CONT669892
SHIP0000730,ORD00000784,Saudi Arabia,Sea Freight,2022-02-01,2022-02-06,5,Yes,176982.92,CONT127274
SHIP0000731,ORD00000785,Saudi Arabia,Road Transport,2023-05-14,2023-05-20,6,Yes,175991.26,CONT523584
SHIP0000732,ORD00000786,Saudi Arabia,Road Transport,2024-08-27,2024-09-04,8,Pending,258231.73,CONT565658
SHIP0000733,ORD00000787,Saudi Arabia,Sea Freight,2023-05-20,2023-05-27,7,Yes,183585.17,CONT330175
SHIP0000734,ORD00000788,Saudi Arabia,Air Cargo,2024-08-06,2024-08-13,7,Yes,131817.71,CONT979599
SHIP0000735,ORD00000789,Saudi Arabia,Road Transport,2023-08-02,2023-08-06,4,Yes,282186.34,CONT625347
SHIP0000736,ORD00000790,Saudi Arabia,Air Cargo,2023-11-09,2023-11-16,7,Yes,68392.55,CONT225170
SHIP0000737,ORD00000791,Saudi Arabia,Road Transport,2024-03-16,2024-03-23,7,Pending,214444.33,CONT480740
SHIP0000738,ORD00000792,Saudi Arabia,Sea Freight,2024-05-03,2024-05-09,6,Yes,246358.49,CONT527300
SHIP0000739,ORD00000793,Saudi Arabia,Road Transport,2024-10-22,2024-10-26,4,Yes,62810.31,CONT432324
SHIP0000740,ORD00000794,Saudi Arabia,Sea Freight,2024-07-18,2024-07-21,3,Yes,108592.44,CONT857432
SHIP0000741,ORD00000795,Kuwait,Air Cargo,2023-02-02,2023-02-05,3,Yes,105810.14,CONT567613
SHIP0000742,ORD00000796,Kuwait,Air Cargo,2023-05-20,2023-05-23,3,Yes,272317.89,CONT165167
SHIP0000743,ORD00000797,Kuwait,Sea Freight,2023-09-10,2023-09-14,4,Pending,212577.4,CONT813781
SHIP0000744,ORD00000798,Kuwait,Sea Freight,2024-08-26,2024-09-03,8,Pending,104236.84,CONT828813
SHIP0000745,ORD00000799,Kuwait,Air Cargo,2023-07-06,2023-07-12,6,Yes,277445.53,CONT762243
SHIP0000746,ORD00000800,Kuwait,Air Cargo,2023-06-06,2023-06-13,7,Yes,110924.14,CONT271262
SHIP0000747,ORD00000801,Kuwait,Sea Freight,2024-07-08,2024-07-12,4,Pending,215504.82,CONT899628
SHIP0000748,ORD00000802,Kuwait,Air Cargo,2024-09-07,2024-09-14,7,Pending,163106.24,CONT799618
SHIP0000749,ORD00000803,Kuwait,Road Transport,2024-04-01,2024-04-06,5,Yes,74402.97,CONT491187
SHIP0000750,ORD00000804,Kuwait,Sea Freight,2023-12-20,2023-12-28,8,Yes,238312.08,CONT811264
SHIP0000751,ORD00000805,Kuwait,Road Transport,2023-10-22,2023-10-29,7,Yes,131922.95,CONT558452
SHIP0000752,ORD00000806,Kuwait,Sea Freight,2023-02-11,2023-02-14,3,Yes,140002.88,CONT654973
SHIP0000753,ORD00000807,Kuwait,Sea Freight,2022-08-29,2022-09-01,3,Yes,103642.49,CONT114383
SHIP0000754,ORD00000808,Kuwait,Sea Freight,2022-07-13,2022-07-21,8,Pending,251067.02,CONT847422
SHIP0000755,ORD00000809,Kuwait,Air Cargo,2023-12-19,2023-12-26,7,Yes,90006.01,CONT529290
SHIP0000756,ORD00000810,Kuwait,Air Cargo,2024-05-13,2024-05-20,7,Yes,104555.29,CONT255230
SHIP0000757,ORD00000811,Kuwait,Sea Freight,2024-04-08,2024-04-12,4,Yes,151670.64,CONT610149
SHIP0000758,ORD00000812,Kuwait,Road Transport,2023-04-18,2023-04-22,4,Yes,87205.95,CONT505412
SHIP0000759,ORD00000813,South Africa,Air Cargo,2022-08-15,2022-08-28,13,Yes,78200.84,CONT487976
SHIP0000760,ORD00000814,South Africa,Sea Freight,2022-10-15,2022-11-06,22,Yes,180422.76,CONT400445
SHIP0000761,ORD00000815,South Africa,Sea Freight,2022-08-21,2022-09-11,21,Yes,288390.04,CONT369679
SHIP0000762,ORD00000816,South Africa,Air Cargo,2023-07-08,2023-07-27,19,Yes,250444.51,CONT312123
SHIP0000763,ORD00000817,South Africa,Air Cargo,2024-12-04,2024-12-29,25,Pending,94277.34,CONT127309
SHIP0000764,ORD00000818,South Africa,Sea Freight,2022-04-26,2022-05-13,17,Yes,196899.38,CONT497167
SHIP0000765,ORD00000819,South Africa,Road Transport,2023-09-04,2023-09-15,11,Yes,248390.44,CONT543580
SHIP0000766,ORD00000820,South Africa,Air Cargo,2022-04-08,2022-04-19,11,Yes,86234.39,CONT617885
SHIP0000767,ORD00000821,South Africa,Road Transport,2024-06-14,2024-07-07,23,Yes,70478.76,CONT353168
SHIP0000768,ORD00000822,South Africa,Air Cargo,2023-11-10,2023-11-26,16,Yes,272776.22,CONT861363
SHIP0000769,ORD00000823,South Africa,Sea Freight,2022-11-21,2022-12-15,24,Yes,111260.96,CONT453525
SHIP0000770,ORD00000824,South Africa,Road Transport,2024-04-01,2024-04-19,18,Yes,174469.49,CONT366298
SHIP0000771,ORD00000825,South Africa,Sea Freight,2022-04-17,2022-05-09,22,Yes,102186.36,CONT985845
SHIP0000772,ORD00000826,South Africa,Road Transport,2024-01-18,2024-02-01,14,Yes,61914.13,CONT385153
SHIP0000773,ORD00000827,South Africa,Road Transport,2024-10-27,2024-11-12,16,Yes,178302.61,CONT478281
SHIP0000774,ORD00000828,South Africa,Road Transport,2022-02-18,2022-03-06,16,No,158770.13,CONT640004
SHIP0000775,ORD00000829,Qatar,Road Transport,2024-07-05,2024-07-08,3,Yes,231621.0,CONT728177
SHIP0000776,ORD00000830,Qatar,Road Transport,2022-05-13,2022-05-16,3,Pending,264353.85,CONT235868
SHIP0000777,ORD00000831,Qatar,Air Cargo,2022-07-03,2022-07-06,3,Yes,85406.25,CONT898132
SHIP0000778,ORD00000832,Qatar,Road Transport,2022-03-03,2022-03-10,7,Yes,92912.0,CONT473090
SHIP0000779,ORD00000833,Qatar,Air Cargo,2022-05-26,2022-06-01,6,Pending,287563.3,CONT477302
SHIP0000780,ORD00000834,Qatar,Sea Freight,2024-05-07,2024-05-15,8,Yes,154487.21,CONT118204
SHIP0000781,ORD00000835,Qatar,Sea Freight,2024-02-02,2024-02-07,5,Yes,288176.42,CONT465742
SHIP0000782,ORD00000836,Qatar,Road Transport,2024-03-06,2024-03-14,8,Yes,134606.91,CONT405271
SHIP0000783,ORD00000837,Qatar,Road Transport,2023-04-21,2023-04-29,8,Pending,136924.78,CONT767083
SHIP0000784,ORD00000838,Qatar,Road Transport,2024-02-23,2024-03-02,8,Yes,226745.79,CONT830402
SHIP0000785,ORD00000839,Qatar,Sea Freight,2022-07-16,2022-07-24,8,Yes,74241.41,CONT660555
SHIP0000786,ORD00000840,Qatar,Sea Freight,2023-04-26,2023-05-01,5,Yes,153241.92,CONT165294
SHIP0000787,ORD00000841,Qatar,Sea Freight,2023-07-10,2023-07-13,3,Yes,145120.42,CONT737675
SHIP0000788,ORD00000842,Qatar,Road Transport,2022-06-20,2022-06-27,7,Yes,58835.02,CONT855426
SHIP0000789,ORD00000843,Qatar,Air Cargo,2024-06-18,2024-06-26,8,Yes,128154.45,CONT428847
SHIP0000790,ORD00000844,Qatar,Sea Freight,2024-06-06,2024-06-14,8,Pending,149627.28,CONT537047
SHIP0000791,ORD00000845,Qatar,Road Transport,2024-10-29,2024-11-01,3,No,64498.32,CONT537241
SHIP0000792,ORD00000846,Qatar,Road Transport,2022-05-02,2022-05-07,5,Pending,55035.23,CONT701296
SHIP0000793,ORD00000847,UAE,Air Cargo,2023-01-26,2023-02-02,7,Pending,199966.13,CONT677526
SHIP0000794,ORD00000848,UAE,Air Cargo,2024-04-16,2024-04-24,8,Yes,101459.76,CONT467903
SHIP0000795,ORD00000849,UAE,Sea Freight,2023-08-02,2023-08-10,8,Yes,140642.9,CONT466296
SHIP0000796,ORD00000850,UAE,Air Cargo,2022-03-29,2022-04-05,7,Yes,70014.84,CONT905170
SHIP0000797,ORD00000851,UAE,Air Cargo,2023-06-09,2023-06-15,6,Yes,75224.3,CONT324476
SHIP0000798,ORD00000852,Nepal,Sea Freight,2023-07-17,2023-08-05,19,Yes,88609.82,CONT355368
SHIP0000799,ORD00000853,Nepal,Road Transport,2024-11-24,2024-12-13,19,Yes,57452.66,CONT516514
SHIP0000800,ORD00000854,Nepal,Sea Freight,2023-08-18,2023-09-01,14,Yes,240595.93,CONT969104
SHIP0000801,ORD00000855,Nepal,Air Cargo,2023-05-04,2023-05-26,22,Yes,276538.98,CONT178478
SHIP0000802,ORD00000856,Nepal,Sea Freight,2024-08-03,2024-08-26,23,Yes,180535.68,CONT400500
SHIP0000803,ORD00000857,Nepal,Road Transport,2023-04-05,2023-04-22,17,Yes,254107.62,CONT951266
SHIP0000804,ORD00000858,Nepal,Sea Freight,2023-11-04,2023-11-20,16,Yes,83888.3,CONT365521
SHIP0000805,ORD00000859,Nepal,Air Cargo,2023-05-10,2023-05-24,14,Yes,162318.87,CONT439042
SHIP0000806,ORD00000860,Nepal,Air Cargo,2024-12-28,2025-01-15,18,Yes,85748.43,CONT270683
SHIP0000807,ORD00000861,Nepal,Road Transport,2022-10-12,2022-10-29,17,Yes,298821.85,CONT662139
SHIP0000808,ORD00000862,Nepal,Road Transport,2023-05-25,2023-06-14,20,Yes,64533.07,CONT371123
SHIP0000809,ORD00000863,Nepal,Air Cargo,2022-09-04,2022-09-24,20,Yes,160998.58,CONT341834
SHIP0000810,ORD00000864,Nepal,Sea Freight,2022-09-06,2022-10-01,25,Yes,78062.41,CONT430623
SHIP0000811,ORD00000865,Nepal,Sea Freight,2023-02-24,2023-03-08,12,Yes,67165.67,CONT312382
SHIP0000812,ORD00000866,Nepal,Air Cargo,2022-12-11,2022-12-21,10,Yes,233745.08,CONT557103
SHIP0000813,ORD00000867,Nepal,Sea Freight,2022-03-18,2022-04-02,15,Pending,70031.91,CONT545606
SHIP0000814,ORD00000868,Nepal,Road Transport,2024-08-11,2024-09-03,23,Yes,55988.63,CONT141039
SHIP0000815,ORD00000869,Nepal,Road Transport,2022-12-14,2023-01-04,21,Yes,287411.75,CONT552220
SHIP0000816,ORD00000870,Nepal,Sea Freight,2024-04-13,2024-05-03,20,Pending,96191.37,CONT962869
SHIP0000817,ORD00000871,Nepal,Road Transport,2024-10-03,2024-10-24,21,Yes,261109.46,CONT910685
SHIP0000818,ORD00000872,Nepal,Air Cargo,2023-05-01,2023-05-19,18,Yes,288245.18,CONT903650
SHIP0000819,ORD00000873,Nepal,Air Cargo,2023-11-07,2023-11-30,23,Yes,237993.08,CONT888860
SHIP0000820,ORD00000874,Nepal,Air Cargo,2025-01-01,2025-01-21,20,Yes,75952.61,CONT541652
SHIP0000821,ORD00000875,Nepal,Road Transport,2022-02-12,2022-02-28,16,Yes,92618.53,CONT606355
SHIP0000822,ORD00000876,Nepal,Road Transport,2022-01-14,2022-01-31,17,Yes,94783.29,CONT367533
SHIP0000823,ORD00000877,Saudi Arabia,Air Cargo,2022-09-03,2022-09-07,4,Yes,213485.38,CONT349740
SHIP0000824,ORD00000878,Saudi Arabia,Road Transport,2023-07-10,2023-07-18,8,Pending,94891.29,CONT910749
SHIP0000825,ORD00000879,Saudi Arabia,Sea Freight,2022-02-22,2022-02-28,6,Yes,57494.28,CONT901510
SHIP0000826,ORD00000880,Saudi Arabia,Sea Freight,2022-10-25,2022-11-01,7,Yes,164639.76,CONT527794
SHIP0000827,ORD00000881,Saudi Arabia,Sea Freight,2023-08-08,2023-08-15,7,Yes,197269.22,CONT707983
SHIP0000828,ORD00000882,Saudi Arabia,Air Cargo,2024-01-09,2024-01-17,8,Yes,165101.77,CONT856874
SHIP0000829,ORD00000883,Saudi Arabia,Air Cargo,2023-11-19,2023-11-24,5,Yes,172286.61,CONT100337
SHIP0000830,ORD00000884,Saudi Arabia,Air Cargo,2022-08-04,2022-08-10,6,Yes,164206.12,CONT399629
SHIP0000831,ORD00000885,Saudi Arabia,Air Cargo,2023-05-18,2023-05-25,7,Yes,116358.96,CONT712215
SHIP0000832,ORD00000886,Saudi Arabia,Sea Freight,2024-10-30,2024-11-04,5,Yes,288973.83,CONT303407
SHIP0000833,ORD00000887,Saudi Arabia,Road Transport,2024-05-25,2024-05-28,3,Pending,259521.44,CONT665142
SHIP0000834,ORD00000888,Saudi Arabia,Sea Freight,2023-06-19,2023-06-24,5,Yes,130713.11,CONT705217
SHIP0000835,ORD00000889,Saudi Arabia,Sea Freight,2022-11-11,2022-11-15,4,Yes,59918.18,CONT142889
SHIP0000836,ORD00000890,Saudi Arabia,Air Cargo,2022-04-22,2022-04-28,6,Yes,264499.37,CONT232500
SHIP0000837,ORD00000891,Saudi Arabia,Road Transport,2023-06-01,2023-06-05,4,Yes,235557.06,CONT785193
SHIP0000838,ORD00000892,Qatar,Sea Freight,2024-01-11,2024-01-18,7,Yes,70312.26,CONT954341
SHIP0000839,ORD00000893,Qatar,Air Cargo,2022-08-03,2022-08-07,4,Yes,224503.67,CONT854902
SHIP0000840,ORD00000894,Qatar,Road Transport,2024-09-22,2024-09-30,8,Yes,163153.59,CONT147505
SHIP0000841,ORD00000895,Qatar,Sea Freight,2023-05-14,2023-05-21,7,Yes,82587.83,CONT582154
SHIP0000842,ORD00000896,Qatar,Air Cargo,2023-11-30,2023-12-08,8,Yes,231178.46,CONT219636
SHIP0000843,ORD00000897,Qatar,Air Cargo,2022-09-22,2022-09-30,8,Yes,138925.39,CONT972621
SHIP0000844,ORD00000898,Qatar,Road Transport,2022-03-02,2022-03-09,7,Yes,277609.7,CONT898411
SHIP0000845,ORD00000899,Qatar,Road Transport,2023-08-14,2023-08-20,6,Yes,60721.75,CONT777181
SHIP0000846,ORD00000900,Qatar,Road Transport,2023-07-07,2023-07-13,6,Yes,284331.64,CONT759071
SHIP0000847,ORD00000901,Qatar,Air Cargo,2023-01-20,2023-01-23,3,Yes,71994.64,CONT666302
SHIP0000848,ORD00000902,Qatar,Sea Freight,2023-05-12,2023-05-20,8,Yes,59037.79,CONT238368
SHIP0000849,ORD00000903,Qatar,Road Transport,2022-06-16,2022-06-19,3,Yes,195449.09,CONT897598
SHIP0000850,ORD00000904,Qatar,Road Transport,2024-02-22,2024-02-26,4,Yes,202639.13,CONT428875
SHIP0000851,ORD00000905,Qatar,Road Transport,2024-08-08,2024-08-12,4,Yes,99412.23,CONT493824
SHIP0000852,ORD00000906,Qatar,Sea Freight,2023-06-23,2023-06-30,7,Pending,268996.96,CONT575792
SHIP0000853,ORD00000907,Qatar,Sea Freight,2024-08-19,2024-08-26,7,Yes,250506.57,CONT410850
SHIP0000854,ORD00000908,Qatar,Sea Freight,2022-03-15,2022-03-20,5,Yes,120644.63,CONT555256
SHIP0000855,ORD00000909,Qatar,Road Transport,2023-07-01,2023-07-06,5,Yes,160768.81,CONT444692
SHIP0000856,ORD00000910,Qatar,Road Transport,2023-08-20,2023-08-27,7,Yes,245828.73,CONT323209
SHIP0000857,ORD00000911,Qatar,Road Transport,2024-07-30,2024-08-04,5,Yes,258340.47,CONT905053
SHIP0000858,ORD00000912,Qatar,Road Transport,2024-10-01,2024-10-09,8,Yes,249067.44,CONT472777
SHIP0000859,ORD00000913,Qatar,Road Transport,2023-02-08,2023-02-11,3,Yes,116980.52,CONT389047
SHIP0000860,ORD00000914,Qatar,Road Transport,2023-05-29,2023-06-06,8,Yes,241329.51,CONT403875
SHIP0000861,ORD00000915,Qatar,Sea Freight,2023-12-11,2023-12-17,6,Pending,208150.86,CONT548562
SHIP0000862,ORD00000916,Qatar,Road Transport,2024-10-02,2024-10-09,7,Yes,181558.91,CONT838542
SHIP0000863,ORD00000917,Qatar,Air Cargo,2023-09-15,2023-09-19,4,Yes,290895.95,CONT140253
SHIP0000864,ORD00000918,Qatar,Road Transport,2024-06-16,2024-06-21,5,Yes,199508.07,CONT765998
SHIP0000865,ORD00000919,Sri Lanka,Road Transport,2023-09-11,2023-09-24,13,Yes,267184.46,CONT157265
SHIP0000866,ORD00000920,Sri Lanka,Sea Freight,2024-03-13,2024-04-01,19,Yes,238084.53,CONT257210
SHIP0000867,ORD00000921,Sri Lanka,Air Cargo,2022-09-14,2022-09-27,13,Yes,61271.05,CONT634825
SHIP0000868,ORD00000922,Sri Lanka,Road Transport,2023-06-29,2023-07-22,23,Yes,116733.02,CONT308316
SHIP0000869,ORD00000923,Sri Lanka,Road Transport,2024-07-17,2024-08-02,16,Yes,202290.51,CONT532803
SHIP0000870,ORD00000924,Sri Lanka,Sea Freight,2023-08-09,2023-08-20,11,Yes,159573.92,CONT335951
SHIP0000871,ORD00000925,Sri Lanka,Road Transport,2024-02-04,2024-02-28,24,Yes,288873.46,CONT843643
SHIP0000872,ORD00000926,Sri Lanka,Air Cargo,2022-11-04,2022-11-17,13,Pending,195904.51,CONT223300
SHIP0000873,ORD00000927,Sri Lanka,Road Transport,2023-07-03,2023-07-21,18,Yes,282271.1,CONT419071
SHIP0000874,ORD00000928,Sri Lanka,Road Transport,2022-06-14,2022-07-08,24,Pending,101472.35,CONT295169
SHIP0000875,ORD00000929,Sri Lanka,Sea Freight,2022-04-14,2022-04-24,10,Yes,274440.37,CONT454560
SHIP0000876,ORD00000930,Sri Lanka,Air Cargo,2023-10-16,2023-11-07,22,Yes,184285.41,CONT807369
SHIP0000877,ORD00000931,Sri Lanka,Sea Freight,2023-11-02,2023-11-22,20,Pending,103518.93,CONT340129
SHIP0000878,ORD00000932,Sri Lanka,Air Cargo,2022-04-01,2022-04-17,16,Yes,147557.11,CONT456825
SHIP0000879,ORD00000933,Sri Lanka,Sea Freight,2023-03-17,2023-04-11,25,Yes,292207.18,CONT697470
SHIP0000880,ORD00000934,Sri Lanka,Sea Freight,2023-06-07,2023-07-01,24,Yes,289869.82,CONT487982
SHIP0000881,ORD00000935,Sri Lanka,Sea Freight,2023-05-25,2023-06-13,19,Yes,55494.8,CONT357795
SHIP0000882,ORD00000936,Sri Lanka,Road Transport,2023-11-25,2023-12-17,22,Yes,126852.35,CONT265049
SHIP0000883,ORD00000937,Sri Lanka,Air Cargo,2022-04-01,2022-04-11,10,Yes,274833.76,CONT160254
SHIP0000884,ORD00000938,Sri Lanka,Sea Freight,2022-11-05,2022-11-20,15,Yes,58129.87,CONT177172
SHIP0000885,ORD00000939,Sri Lanka,Road Transport,2023-05-12,2023-05-25,13,Yes,289233.9,CONT189476
SHIP0000886,ORD00000940,Sri Lanka,Air Cargo,2024-10-10,2024-10-25,15,Yes,146995.35,CONT405602
SHIP0000887,ORD00000941,Sri Lanka,Air Cargo,2023-04-02,2023-04-25,23,Yes,78702.47,CONT730275
SHIP0000888,ORD00000942,Sri Lanka,Sea Freight,2022-10-10,2022-10-27,17,Yes,125285.81,CONT227948
SHIP0000889,ORD00000943,Sri Lanka,Sea Freight,2024-04-07,2024-04-19,12,Yes,252040.66,CONT528920
SHIP0000890,ORD00000944,Sri Lanka,Road Transport,2024-08-17,2024-09-04,18,Yes,299610.0,CONT248460
SHIP0000891,ORD00000945,Sri Lanka,Air Cargo,2023-07-21,2023-08-03,13,Pending,83452.42,CONT884900
SHIP0000892,ORD00000946,Sri Lanka,Road Transport,2023-04-10,2023-05-04,24,Yes,209390.79,CONT313392
SHIP0000893,ORD00000947,Sri Lanka,Road Transport,2022-01-15,2022-01-25,10,Yes,281327.32,CONT141844
SHIP0000894,ORD00000948,Sri Lanka,Air Cargo,2022-08-29,2022-09-17,19,Yes,274927.93,CONT235113
SHIP0000895,ORD00000949,Saudi Arabia,Road Transport,2024-01-18,2024-01-21,3,Yes,145839.57,CONT652700
SHIP0000896,ORD00000950,Saudi Arabia,Sea Freight,2024-08-10,2024-08-17,7,Yes,266443.51,CONT303935
SHIP0000897,ORD00000951,Saudi Arabia,Sea Freight,2024-07-08,2024-07-13,5,Yes,97896.91,CONT578750
SHIP0000898,ORD00000952,Saudi Arabia,Air Cargo,2024-11-30,2024-12-08,8,Yes,208030.53,CONT569093
SHIP0000899,ORD00000953,Saudi Arabia,Road Transport,2024-09-30,2024-10-07,7,Yes,199499.96,CONT795322
SHIP0000900,ORD00000954,Saudi Arabia,Road Transport,2024-08-04,2024-08-12,8,Pending,245721.13,CONT690065
SHIP0000901,ORD00000955,Saudi Arabia,Road Transport,2023-04-08,2023-04-11,3,Yes,107249.03,CONT732610
SHIP0000902,ORD00000956,Saudi Arabia,Air Cargo,2022-09-24,2022-09-28,4,Yes,207212.86,CONT593962
SHIP0000903,ORD00000957,Saudi Arabia,Sea Freight,2022-08-16,2022-08-21,5,Yes,202606.23,CONT917265
SHIP0000904,ORD00000958,UAE,Air Cargo,2024-02-03,2024-02-11,8,Yes,71055.93,CONT473826
SHIP0000905,ORD00000959,UAE,Sea Freight,2024-04-04,2024-04-08,4,Yes,132647.99,CONT574584
SHIP0000906,ORD00000960,UAE,Sea Freight,2022-04-29,2022-05-05,6,Yes,101859.51,CONT226793
SHIP0000907,ORD00000961,UAE,Air Cargo,2023-11-08,2023-11-11,3,Yes,299897.99,CONT159735
SHIP0000908,ORD00000962,UAE,Sea Freight,2024-10-16,2024-10-21,5,Yes,297649.93,CONT741535
SHIP0000909,ORD00000963,UAE,Air Cargo,2023-05-23,2023-05-26,3,Yes,113108.08,CONT640237
SHIP0000910,ORD00000964,UAE,Air Cargo,2023-10-12,2023-10-16,4,Yes,252130.19,CONT442447
SHIP0000911,ORD00000965,UAE,Air Cargo,2022-08-21,2022-08-28,7,Yes,254115.68,CONT265340
SHIP0000912,ORD00000966,UAE,Road Transport,2022-06-24,2022-06-30,6,Yes,283975.86,CONT297225
SHIP0000913,ORD00000967,UAE,Air Cargo,2023-03-01,2023-03-04,3,Yes,82292.83,CONT920339
SHIP0000914,ORD00000968,UAE,Road Transport,2022-01-16,2022-01-22,6,Yes,216899.01,CONT157811
SHIP0000915,ORD00000969,UAE,Air Cargo,2022-06-30,2022-07-08,8,Yes,101471.45,CONT480102
SHIP0000916,ORD00000989,Malaysia,Air Cargo,2024-06-25,2024-06-30,5,Yes,214414.85,CONT179975
SHIP0000917,ORD00000990,Malaysia,Air Cargo,2023-10-12,2023-10-22,10,Yes,268044.4,CONT814119
SHIP0000918,ORD00000991,Malaysia,Road Transport,2023-01-30,2023-02-05,6,Yes,70311.07,CONT352560
SHIP0000919,ORD00000992,Malaysia,Road Transport,2024-01-14,2024-01-19,5,Yes,209248.53,CONT970589
SHIP0000920,ORD00000993,Malaysia,Air Cargo,2022-08-24,2022-09-04,11,Yes,184401.37,CONT761709
SHIP0000921,ORD00000994,Malaysia,Sea Freight,2023-06-05,2023-06-11,6,Yes,93899.19,CONT895495
SHIP0000922,ORD00000995,Malaysia,Road Transport,2024-07-26,2024-08-03,8,Yes,109389.12,CONT234366
SHIP0000923,ORD00000996,Malaysia,Air Cargo,2024-12-02,2024-12-10,8,Yes,180125.27,CONT437483
SHIP0000924,ORD00000997,Malaysia,Air Cargo,2023-05-02,2023-05-11,9,No,265123.02,CONT969147
SHIP0000925,ORD00000998,Malaysia,Air Cargo,2022-01-19,2022-01-28,9,Yes,218795.41,CONT297922
SHIP0000926,ORD00000999,Malaysia,Air Cargo,2024-06-08,2024-06-16,8,Yes,56862.25,CONT779765
SHIP0000927,ORD00001000,Malaysia,Air Cargo,2022-08-22,2022-08-27,5,Yes,81548.82,CONT764742
SHIP0000928,ORD00001001,Malaysia,Road Transport,2023-09-27,2023-10-06,9,Yes,270665.42,CONT226533
SHIP0000929,ORD00001002,Malaysia,Air Cargo,2024-02-12,2024-02-17,5,Yes,213157.94,CONT643355
SHIP0000930,ORD00001003,Kenya,Air Cargo,2022-12-22,2023-01-05,14,Yes,54515.71,CONT831311
SHIP0000931,ORD00001004,Kenya,Sea Freight,2022-10-22,2022-11-07,16,Yes,199036.47,CONT117313
SHIP0000932,ORD00001005,Kenya,Sea Freight,2022-12-16,2023-01-05,20,Yes,92144.19,CONT266398
SHIP0000933,ORD00001006,Kenya,Road Transport,2024-09-29,2024-10-19,20,Yes,279981.75,CONT638524
SHIP0000934,ORD00001007,Kenya,Road Transport,2022-04-08,2022-04-25,17,Yes,80604.92,CONT891381
SHIP0000935,ORD00001008,Kenya,Road Transport,2023-07-08,2023-07-24,16,Yes,69243.72,CONT890059
SHIP0000936,ORD00001009,Kenya,Sea Freight,2023-08-16,2023-09-07,22,Yes,211201.71,CONT590023
SHIP0000937,ORD00001010,Kenya,Air Cargo,2022-09-09,2022-09-21,12,Yes,248186.34,CONT232186
SHIP0000938,ORD00001011,Malaysia,Air Cargo,2023-03-24,2023-03-29,5,Yes,118452.72,CONT437911
SHIP0000939,ORD00001012,Malaysia,Road Transport,2022-12-09,2022-12-18,9,Pending,125335.25,CONT413575
SHIP0000940,ORD00001013,Malaysia,Air Cargo,2024-01-17,2024-01-22,5,Yes,139197.41,CONT129784
