batch_id,farmer_id,procurement_date,quantity_mt,variety,quality_grade,price_per_mt,moisture_content,defect_percentage
PB202512104288,F0084,2023-01-30,26.18,FL-2027,Grade B,15436.76,74.0,1.5
PB202512101828,F0084,2023-05-26,9.8,3797,Premium,26535.79,80.2,7.6
PB202512108605,F0084,2023-02-12,7.13,Kufri Chipsona,Grade A,17699.18,70.9,2.5
PB202512104963,F0084,2022-09-11,3.83,3797,Grade B,23752.86,73.2,1.7
PB202512103909,F0084,2024-09-28,3.34,Kufri Chipsona,Grade A,21178.2,81.7,6.3
PB202512105237,F0085,2023-12-18,29.19,FL-2027,Grade A,18078.18,73.3,6.6
PB202512101813,F0085,2023-08-07,4.61,FL-1867,Premium,22395.07,72.8,1.9
PB202512104688,F0085,2023-03-15,11.41,FL-1867,Grade B,17487.24,78.1,1.4
PB202512109409,F0085,2023-07-06,3.68,FL-2027,Grade B,26472.19,71.8,3.4
PB202512103167,F0085,2022-01-19,26.62,FL-1867,Grade A,16084.48,71.0,4.4
PB202512106004,F0085,2022-01-18,12.56,3797,Premium,18943.86,79.6,2.0
PB202512106713,F0085,2024-05-17,6.65,Kufri Chipsona,Grade B,24044.07,71.7,5.4
PB202512105950,F0085,2023-06-01,4.19,Kufri Chipsona,Premium,23902.67,71.0,4.2
PB202512107131,F0085,2022-07-29,4.45,3797,Premium,26579.05,70.7,3.9
PB202512108892,F0085,2023-09-04,5.67,FL-2027,Grade B,25800.05,76.9,5.7
PB202512106327,F0085,2023-11-20,24.43,3797,Grade C,21035.42,73.8,4.8
PB202512105895,F0085,2023-06-19,8.72,FL-1867,Grade B,27915.61,80.7,3.6
PB202512101930,F0086,2024-11-25,9.88,Kufri Chipsona,Grade B,18425.75,78.9,4.4
PB202512101417,F0086,2023-10-17,17.08,Kufri Chipsona,Grade B,20867.61,74.3,7.0
PB202512107857,F0086,2023-08-29,5.25,Kufri Chipsona,Grade A,22625.86,75.4,6.3
PB202512104111,F0086,2024-03-06,8.15,3797,Grade B,16374.93,81.4,2.2
PB202512108794,F0086,2023-04-01,6.54,3797,Grade B,24634.52,75.9,5.5
PB202512103785,F0086,2024-11-04,10.75,FL-1867,Grade A,18868.64,74.5,5.6
PB202512105237,F0087,2022-07-19,3.13,FL-1867,Grade A,24567.02,72.2,3.0
PB202512104641,F0087,2023-11-19,10.47,3797,Grade B,16279.86,79.9,3.0
PB202512106031,F0087,2023-04-03,9.42,Kufri Chipsona,Grade B,27759.41,76.9,2.0
PB202512105817,F0087,2023-11-10,14.36,Kufri Chipsona,Grade A,20584.13,74.4,1.6
PB202512102166,F0087,2022-08-30,6.45,Kufri Chipsona,Grade A,26760.97,79.6,2.2
PB202512107253,F0087,2023-02-03,21.82,3797,Grade A,16543.53,72.6,7.1
PB202512103470,F0087,2024-04-26,4.0,FL-1867,Premium,22105.98,70.0,7.1
PB202512108496,F0087,2023-02-15,24.81,FL-1867,Grade A,19391.3,79.0,2.1
PB202512108988,F0088,2023-01-05,16.46,3797,Grade B,17458.54,71.1,4.4
PB202512101950,F0088,2022-12-29,28.02,FL-2027,Grade A,15280.41,73.5,2.5
PB202512103762,F0088,2024-07-14,3.91,FL-1867,Grade A,27267.48,75.6,4.3
PB202512102442,F0088,2024-09-29,8.08,FL-1867,Grade B,21235.94,75.8,4.0
PB202512107609,F0088,2024-06-07,6.78,Kufri Chipsona,Grade A,27996.46,79.2,3.8
PB202512101618,F0088,2024-09-04,8.62,FL-1867,Grade A,21365.67,70.4,2.4
PB202512106279,F0088,2024-02-04,13.51,FL-1867,Grade C,18574.07,77.4,7.4
PB202512105076,F0088,2022-02-06,17.75,FL-1867,Grade B,18508.93,70.6,1.2
PB202512102682,F0088,2023-12-07,18.78,Kufri Chipsona,Grade A,18067.25,80.1,2.1
PB202512101749,F0089,2023-09-19,2.2,3797,Premium,23592.31,72.8,1.3
PB202512109524,F0089,2023-08-19,7.8,3797,Grade A,20892.74,77.3,3.0
PB202512103192,F0089,2024-06-07,3.39,3797,Grade B,23038.01,79.6,3.7
PB202512104087,F0089,2024-09-30,8.01,FL-1867,Grade A,21003.89,79.3,2.7
PB202512104675,F0089,2024-04-06,7.42,FL-1867,Premium,24526.25,81.1,3.7
PB202512109267,F0089,2023-03-09,6.65,FL-1867,Grade B,15134.09,79.9,4.7
PB202512101612,F0089,2022-09-10,8.2,Kufri Chipsona,Grade A,21875.4,74.1,1.2
PB202512101796,F0089,2023-06-08,9.69,FL-2027,Grade B,25342.94,81.2,2.9
PB202512101323,F0089,2022-08-10,6.89,FL-2027,Grade B,25428.0,73.8,6.9
PB202512107230,F0089,2022-08-26,9.58,FL-2027,Grade A,27078.84,78.9,2.9
PB202512103508,F0089,2023-06-02,4.25,FL-1867,Grade A,27706.88,70.1,6.0
PB202512102654,F0089,2022-01-20,22.66,3797,Grade A,19358.83,81.9,3.2
PB202512102718,F0090,2024-05-07,4.72,FL-2027,Grade B,20631.52,75.3,2.8
PB202512102741,F0090,2023-08-02,4.75,Kufri Chipsona,Premium,26676.57,81.2,2.3
PB202512105308,F0090,2023-02-11,14.31,FL-1867,Grade A,21500.41,70.7,1.6
PB202512105839,F0090,2024-01-04,9.07,FL-1867,Grade B,19166.49,71.8,7.8
PB202512104402,F0090,2022-03-22,16.17,Kufri Chipsona,Grade A,18510.63,73.0,4.3
PB202512101208,F0090,2023-11-09,21.55,FL-2027,Premium,20258.24,79.0,5.0
PB202512102475,F0091,2024-10-08,27.61,FL-2027,Premium,20721.85,79.1,1.4
PB202512104787,F0091,2022-07-27,2.06,Kufri Chipsona,Grade C,21699.58,78.0,3.9
PB202512101820,F0091,2023-08-30,5.22,FL-2027,Grade A,27076.7,80.7,7.4
PB202512105760,F0091,2022-12-24,12.85,3797,Grade B,19837.39,73.3,2.3
PB202512102898,F0091,2023-10-03,9.62,FL-2027,Grade A,17394.75,75.2,6.8
PB202512103793,F0092,2022-01-20,8.0,3797,Grade B,20144.48,76.4,3.0
PB202512105395,F0092,2024-01-03,17.32,FL-2027,Grade B,17099.59,77.2,4.0
PB202512103996,F0092,2024-02-03,9.11,FL-2027,Grade B,15816.08,76.6,7.3
PB202512108479,F0092,2024-03-31,13.6,3797,Grade A,20131.0,77.9,7.5
PB202512103732,F0093,2024-09-06,8.57,FL-2027,Grade B,24532.84,77.9,7.3
PB202512101960,F0093,2022-09-29,5.2,FL-1867,Grade B,22614.36,70.1,6.8
PB202512108908,F0093,2022-08-01,8.41,Kufri Chipsona,Grade A,20835.64,76.9,4.2
PB202512106875,F0093,2023-01-07,7.97,FL-2027,Grade A,21863.98,72.6,1.5
PB202512108997,F0093,2022-09-25,6.76,FL-2027,Grade A,25910.93,70.4,5.6
PB202512102037,F0093,2024-04-22,6.26,3797,Grade A,20826.12,72.1,5.0
PB202512109598,F0093,2023-10-06,12.41,FL-1867,Premium,21568.21,79.8,7.9
PB202512102560,F0093,2023-11-24,11.49,Kufri Chipsona,Grade A,21788.07,75.2,3.4
PB202512107305,F0093,2023-05-25,2.4,FL-1867,Grade A,20422.12,78.3,4.2
PB202512103571,F0093,2022-04-22,3.81,Kufri Chipsona,Premium,24911.76,73.0,5.0
PB202512109055,F0094,2022-12-05,13.98,3797,Premium,20764.87,79.8,4.3
PB202512105557,F0094,2023-05-09,4.81,FL-2027,Grade A,22900.48,79.7,3.3
PB202512107203,F0094,2024-11-04,10.23,Kufri Chipsona,Premium,15592.82,75.6,4.4
PB202512108277,F0094,2023-04-27,8.73,Kufri Chipsona,Premium,21769.91,74.6,6.7
PB202512108324,F0094,2022-06-30,8.59,3797,Grade B,23076.89,75.5,3.1
PB202512101291,F0094,2022-09-01,9.46,FL-2027,Grade C,20949.15,81.2,5.8
PB202512109996,F0094,2024-04-06,6.25,FL-2027,Grade A,20261.27,75.7,3.9
PB202512105990,F0094,2022-07-06,3.29,FL-1867,Grade B,25251.28,81.7,4.9
PB202512106953,F0094,2024-07-23,7.72,FL-2027,Grade C,20547.6,75.0,1.8
PB202512106439,F0094,2023-04-02,6.9,Kufri Chipsona,Grade B,27507.86,77.9,1.5
PB202512102868,F0094,2024-01-15,13.87,FL-2027,Grade B,18854.64,74.8,6.8
PB202512105783,F0095,2022-01-05,25.37,3797,Grade A,19282.82,74.5,2.8
PB202512103689,F0095,2022-08-06,2.85,Kufri Chipsona,Premium,22839.18,75.0,5.7
PB202512107704,F0095,2022-10-15,21.45,FL-2027,Grade B,15490.76,74.7,2.3
PB202512104072,F0095,2023-06-05,3.25,FL-2027,Grade A,26618.42,70.5,3.9
PB202512104122,F0095,2024-03-15,9.21,3797,Premium,21155.31,76.7,2.6
PB202512101761,F0095,2022-08-09,6.02,FL-2027,Grade B,25851.89,81.5,2.5
PB202512109260,F0095,2024-07-11,9.09,FL-1867,Grade A,27474.43,81.0,5.4
PB202512101795,F0096,2022-01-09,20.75,Kufri Chipsona,Grade A,17822.47,79.0,4.7
PB202512103903,F0096,2024-09-16,7.42,FL-1867,Grade C,23427.66,78.8,6.8
PB202512106273,F0096,2022-09-20,3.17,Kufri Chipsona,Premium,26663.44,76.5,6.9
PB202512105067,F0096,2024-05-07,5.45,3797,Grade C,23032.32,81.0,2.8
PB202512105819,F0096,2024-03-25,26.11,Kufri Chipsona,Grade C,18388.14,76.2,3.2
PB202512109393,F0096,2022-10-01,19.33,3797,Premium,17276.48,70.5,2.9
PB202512104560,F0096,2023-10-05,5.16,FL-1867,Grade B,21848.48,81.6,3.8
PB202512105760,F0096,2023-03-06,23.21,3797,Grade A,17420.64,78.1,6.6
PB202512103913,F0096,2022-09-29,9.57,3797,Grade C,23201.7,79.4,2.9
PB202512108870,F0096,2022-08-25,9.92,Kufri Chipsona,Grade B,20206.16,77.2,5.6
PB202512107920,F0096,2024-12-29,22.2,FL-2027,Grade A,15842.71,81.3,2.3
PB202512103381,F0097,2022-08-07,6.98,FL-2027,Premium,21781.41,73.7,4.8
PB202512103636,F0097,2022-04-26,5.34,3797,Premium,21281.8,72.1,3.9
PB202512102016,F0097,2023-05-29,8.06,3797,Premium,27183.72,71.0,3.8
PB202512101529,F0097,2023-02-22,7.51,3797,Grade B,15116.15,77.9,5.2
PB202512104675,F0097,2024-07-15,3.3,Kufri Chipsona,Premium,21870.5,70.3,6.8
PB202512105712,F0097,2023-05-02,9.8,FL-2027,Grade A,21083.68,72.8,7.1
PB202512106122,F0097,2024-02-21,28.16,FL-2027,Grade A,17937.39,70.6,1.3
PB202512104327,F0097,2022-01-27,19.35,Kufri Chipsona,Grade B,17750.27,70.3,5.1
PB202512107025,F0097,2023-04-07,2.09,FL-1867,Grade C,26298.98,73.7,1.3
PB202512103906,F0097,2023-02-01,19.71,FL-2027,Grade A,17783.79,81.7,4.8
PB202512109418,F0097,2023-01-18,11.88,FL-2027,Grade C,19966.07,73.3,7.3
PB202512105572,F0097,2024-02-12,14.37,3797,Premium,18849.08,70.6,4.0
PB202512105178,F0098,2022-11-26,25.81,FL-2027,Grade A,20639.54,72.7,2.6
PB202512103536,F0098,2023-11-08,25.43,FL-2027,Grade A,21512.79,71.1,4.2
PB202512101833,F0098,2022-11-11,13.44,3797,Grade C,21094.82,71.0,2.5
PB202512106866,F0098,2024-10-01,23.81,FL-2027,Grade B,15359.06,75.9,4.1
PB202512104012,F0098,2023-10-13,13.36,FL-2027,Grade A,17762.01,76.4,2.1
PB202512109897,F0098,2024-10-31,19.3,Kufri Chipsona,Premium,20638.03,79.1,2.1
PB202512104495,F0099,2023-12-17,8.73,3797,Premium,16877.22,74.3,3.9
PB202512104579,F0099,2023-11-10,21.99,Kufri Chipsona,Grade A,15396.76,70.4,3.7
PB202512106668,F0099,2022-01-19,22.43,Kufri Chipsona,Premium,16354.05,77.7,2.8
PB202512104994,F0099,2023-05-08,9.09,FL-2027,Grade C,27165.52,73.6,2.6
PB202512102857,F0099,2023-10-20,15.28,Kufri Chipsona,Grade A,16683.72,78.1,6.8
PB202512109468,F0100,2023-08-03,7.38,3797,Premium,26594.8,74.8,2.1
PB202512108300,F0100,2024-11-19,23.45,Kufri Chipsona,Grade B,17523.32,78.1,2.9
PB202512104154,F0100,2022-03-31,7.03,3797,Grade A,21948.07,71.9,7.9
PB202512102572,F0100,2024-11-18,29.43,FL-1867,Premium,20556.73,77.9,5.0
PB202512102072,F0100,2024-12-28,26.65,FL-1867,Premium,17026.08,75.6,5.3
PB202512107950,F0100,2023-03-13,15.28,FL-2027,Grade B,17992.41,74.0,4.9
PB202512108130,F0100,2023-02-26,26.26,FL-2027,Grade A,16410.7,81.2,5.8
PB202512106434,F0100,2022-11-11,25.58,FL-2027,Premium,18893.33,79.4,1.1
PB202512105127,F0101,2022-05-31,8.55,FL-2027,Premium,20321.11,80.7,7.9
PB202512107678,F0101,2023-04-12,4.35,Kufri Chipsona,Grade C,21682.55,79.2,2.8
PB202512108094,F0101,2024-07-12,8.92,3797,Grade A,20822.74,71.5,7.9
PB202512102938,F0101,2022-02-04,21.85,FL-2027,Grade A,20928.21,73.9,5.7
PB202512101745,F0101,2022-05-10,6.75,FL-2027,Grade B,24825.2,78.2,5.0
PB202512105937,F0102,2024-10-26,15.73,FL-2027,Premium,16931.46,79.2,2.6
PB202512108170,F0102,2023-07-31,7.54,Kufri Chipsona,Grade B,21866.66,77.5,6.2
PB202512101504,F0102,2024-03-20,10.47,Kufri Chipsona,Grade B,15419.6,71.6,5.2
PB202512103234,F0102,2022-11-17,26.24,Kufri Chipsona,Grade A,15314.98,78.8,3.4
PB202512103360,F0102,2023-08-28,5.83,3797,Grade C,27430.88,74.0,4.3
PB202512101182,F0102,2024-02-04,5.34,FL-1867,Grade C,15571.19,73.1,1.2
PB202512107456,F0102,2022-09-10,7.05,FL-2027,Premium,23411.19,76.6,2.2
PB202512106633,F0102,2023-09-17,4.37,FL-1867,Premium,25310.6,81.6,1.4
PB202512109397,F0102,2024-04-25,9.12,FL-1867,Grade C,24615.05,76.8,4.5
PB202512105140,F0103,2023-01-12,6.73,FL-1867,Premium,15629.14,77.2,3.4
PB202512101891,F0103,2022-08-23,9.34,Kufri Chipsona,Premium,23252.72,71.7,6.0
PB202512102103,F0103,2022-05-30,4.35,3797,Grade A,24203.76,78.4,7.3
PB202512108982,F0103,2022-07-21,8.34,3797,Premium,25410.89,78.2,7.6
PB202512104842,F0103,2024-01-02,12.4,FL-2027,Premium,15007.78,73.3,2.5
PB202512104170,F0103,2023-08-07,7.29,3797,Grade A,25069.69,77.1,1.1
PB202512106008,F0104,2024-07-11,7.83,FL-1867,Grade A,22588.24,78.0,4.9
PB202512108017,F0104,2024-01-17,13.57,FL-1867,Grade B,15942.03,71.1,6.8
PB202512104629,F0104,2022-01-10,27.96,Kufri Chipsona,Grade A,19548.52,71.2,3.8
PB202512103200,F0104,2023-07-21,7.83,3797,Grade B,26238.57,71.4,1.0
PB202512106877,F0104,2024-09-09,7.7,3797,Grade A,22852.77,73.1,1.1
PB202512103879,F0104,2024-09-24,6.32,FL-2027,Grade A,26809.21,81.5,5.0
PB202512103293,F0104,2023-07-29,6.12,FL-1867,Grade B,20680.45,76.6,3.7
PB202512102252,F0104,2023-06-24,6.86,FL-2027,Grade B,23109.81,72.9,1.7
PB202512101511,F0104,2022-02-08,12.87,Kufri Chipsona,Grade B,15676.51,72.1,7.9
PB202512105269,F0104,2023-03-12,16.1,Kufri Chipsona,Grade C,18723.1,80.5,8.0
PB202512104658,F0104,2022-11-01,19.57,3797,Grade A,20687.32,73.9,3.1
PB202512102483,F0105,2024-08-09,5.22,Kufri Chipsona,Grade A,25380.06,78.2,3.2
PB202512104913,F0105,2024-01-16,8.33,FL-1867,Grade A,19426.77,71.5,5.0
PB202512103608,F0105,2024-11-18,22.34,FL-1867,Premium,19904.28,79.0,7.1
PB202512108921,F0105,2022-10-27,17.5,3797,Grade B,20111.74,77.4,2.3
PB202512108989,F0105,2022-03-24,5.64,FL-1867,Premium,16991.79,75.3,5.3
PB202512104834,F0105,2022-05-09,8.8,FL-2027,Grade A,21569.97,71.5,7.7
PB202512106918,F0106,2024-11-26,7.7,Kufri Chipsona,Grade C,18349.44,77.0,4.8
PB202512101760,F0106,2024-08-19,2.69,FL-2027,Grade C,20456.22,71.3,5.1
PB202512109542,F0106,2023-10-26,18.61,3797,Premium,16636.19,77.7,6.7
PB202512103848,F0106,2023-06-24,2.33,Kufri Chipsona,Grade A,23985.04,78.3,2.8
PB202512102275,F0106,2024-02-15,12.69,3797,Grade A,19295.47,80.8,6.7
PB202512104651,F0106,2024-02-10,19.58,Kufri Chipsona,Grade C,20111.55,74.4,5.5
PB202512106653,F0106,2023-12-24,16.65,Kufri Chipsona,Grade B,16329.55,78.4,4.9
PB202512103276,F0107,2022-01-14,13.97,Kufri Chipsona,Grade A,21379.37,70.3,3.2
PB202512109430,F0107,2022-12-06,6.42,3797,Premium,20365.69,78.4,3.3
PB202512103578,F0107,2023-03-10,21.89,3797,Premium,17771.56,79.1,4.2
PB202512107793,F0107,2022-08-31,5.3,3797,Grade B,27477.84,73.0,1.8
PB202512108844,F0107,2022-08-21,6.68,Kufri Chipsona,Grade A,27754.57,74.5,1.4
PB202512107732,F0107,2023-03-08,13.48,FL-2027,Grade A,18541.52,71.9,5.6
PB202512103639,F0107,2023-05-15,9.98,FL-1867,Premium,23613.92,74.3,3.8
PB202512103406,F0107,2024-11-15,7.88,FL-2027,Premium,21182.92,75.0,3.7
PB202512103949,F0107,2022-12-07,21.49,Kufri Chipsona,Grade A,18094.23,77.8,1.4
PB202512105644,F0107,2022-02-08,25.34,FL-2027,Grade B,21583.53,77.8,7.7
PB202512108723,F0107,2023-03-20,8.79,Kufri Chipsona,Grade A,18341.91,77.2,5.1
PB202512103338,F0108,2023-03-26,15.04,FL-1867,Grade B,17366.59,71.5,3.7
PB202512106614,F0108,2024-11-12,9.07,Kufri Chipsona,Grade A,20140.56,72.5,1.4
PB202512107315,F0108,2022-05-21,6.42,FL-1867,Premium,24761.84,80.5,5.0
PB202512109564,F0108,2022-08-11,4.76,Kufri Chipsona,Premium,26424.1,76.5,1.6
PB202512103906,F0108,2022-11-03,19.15,Kufri Chipsona,Grade A,21356.13,74.8,3.1
PB202512109706,F0108,2022-03-21,8.59,FL-2027,Grade B,16060.12,75.2,5.2
PB202512109835,F0109,2024-09-14,2.64,FL-2027,Grade B,27516.55,79.1,5.1
PB202512107068,F0109,2024-06-02,8.63,FL-2027,Grade A,20641.49,75.7,5.4
PB202512108899,F0109,2024-12-21,25.72,Kufri Chipsona,Grade A,20484.29,73.3,7.6
PB202512102600,F0109,2023-12-19,8.11,Kufri Chipsona,Grade A,21125.94,81.7,2.2
PB202512104809,F0109,2022-10-02,23.05,FL-2027,Grade A,15282.0,74.9,4.6
PB202512101089,F0110,2024-04-16,6.65,FL-2027,Grade A,27487.5,78.1,4.4
PB202512101117,F0110,2024-12-06,25.24,Kufri Chipsona,Premium,21653.73,70.3,7.9
PB202512106175,F0110,2023-02-25,7.15,Kufri Chipsona,Grade B,20700.71,73.4,1.9
PB202512107980,F0110,2024-01-12,16.0,3797,Premium,19507.7,74.6,1.4
PB202512107939,F0110,2023-06-20,6.8,3797,Grade B,27219.23,74.6,2.5
PB202512107511,F0110,2023-07-19,5.54,FL-1867,Grade C,20386.9,79.8,6.8
PB202512108904,F0110,2024-04-26,6.7,FL-1867,Grade A,22824.82,79.6,4.9
PB202512108925,F0110,2024-01-29,25.65,3797,Grade A,19420.21,79.4,5.2
PB202512107522,F0111,2023-12-07,15.35,FL-1867,Grade B,21705.62,76.5,5.2
PB202512108317,F0111,2022-09-01,3.76,FL-1867,Grade B,25005.21,76.9,2.3
PB202512107562,F0111,2022-07-25,2.48,3797,Premium,24834.87,79.2,4.7
PB202512101086,F0111,2022-04-17,3.81,FL-2027,Premium,25332.18,71.0,4.1
PB202512108133,F0111,2022-10-25,9.08,FL-2027,Grade A,16291.21,72.4,3.7
PB202512107075,F0111,2022-05-12,2.41,FL-2027,Grade A,23182.35,76.1,4.4
PB202512107564,F0111,2022-03-19,14.57,3797,Grade B,20874.03,71.7,4.5
PB202512103871,F0111,2022-04-28,2.5,Kufri Chipsona,Grade C,20569.25,76.9,5.0
PB202512109489,F0112,2022-01-22,26.95,3797,Premium,18905.12,81.5,1.3
PB202512109364,F0112,2023-02-03,7.45,FL-1867,Premium,15308.46,72.2,4.8
PB202512106893,F0112,2022-12-14,21.14,FL-1867,Grade B,15319.1,81.4,6.9
PB202512102422,F0112,2022-01-01,12.42,3797,Grade C,15540.31,72.0,1.9
PB202512107474,F0112,2024-03-29,8.08,Kufri Chipsona,Grade A,18629.93,73.0,3.5
PB202512102124,F0112,2023-02-15,29.74,FL-2027,Grade A,19790.2,81.4,2.0
PB202512106703,F0112,2023-08-06,5.06,3797,Grade B,24437.85,70.9,1.0
PB202512104187,F0112,2023-07-21,7.36,Kufri Chipsona,Premium,25134.56,74.9,4.4
PB202512105277,F0112,2024-04-07,5.32,FL-1867,Grade A,20192.04,74.0,2.2
PB202512102185,F0112,2024-04-13,2.79,3797,Grade A,27653.76,77.2,6.1
PB202512109409,F0112,2023-11-28,12.88,3797,Grade C,17752.03,72.8,1.7
PB202512107178,F0113,2023-05-28,3.43,Kufri Chipsona,Grade B,26380.11,78.1,4.8
PB202512108517,F0113,2023-05-14,5.8,Kufri Chipsona,Grade B,27379.47,70.9,3.0
PB202512105224,F0113,2022-02-26,13.75,FL-2027,Grade A,20476.98,81.9,2.7
PB202512104610,F0113,2024-02-23,26.86,FL-1867,Grade A,20814.36,72.7,3.8
PB202512106785,F0113,2023-10-09,15.24,FL-2027,Grade A,21847.54,72.2,6.6
PB202512102523,F0113,2023-06-24,4.67,Kufri Chipsona,Premium,25846.96,75.0,5.0
PB202512103924,F0113,2023-12-02,25.82,Kufri Chipsona,Premium,20629.16,80.4,1.4
PB202512105408,F0113,2023-10-05,22.3,FL-1867,Grade A,15979.91,75.0,4.8
PB202512104271,F0113,2023-01-25,15.07,FL-1867,Grade A,18637.28,82.0,1.9
PB202512104387,F0113,2023-05-11,7.4,FL-1867,Grade B,23168.01,71.6,2.1
PB202512106833,F0113,2023-02-20,28.73,FL-1867,Grade B,21157.21,80.9,7.9
PB202512102285,F0113,2022-08-07,3.67,Kufri Chipsona,Premium,22843.51,78.0,4.4
PB202512107081,F0114,2022-03-28,15.46,3797,Grade B,17504.68,77.1,5.0
PB202512105501,F0114,2024-10-05,9.04,Kufri Chipsona,Grade B,18302.18,76.6,5.0
PB202512109374,F0114,2023-01-10,10.25,3797,Grade C,20195.9,70.3,3.5
PB202512103101,F0114,2024-03-25,24.51,FL-2027,Premium,18947.25,73.1,5.9
PB202512109859,F0115,2024-05-16,6.54,FL-2027,Grade A,26369.95,78.8,5.3
PB202512103863,F0115,2024-10-26,17.2,Kufri Chipsona,Grade A,15932.27,73.1,3.9
PB202512108537,F0115,2022-09-04,6.79,3797,Grade B,24109.66,73.5,1.0
PB202512104452,F0115,2022-01-18,17.41,Kufri Chipsona,Premium,16999.38,78.8,1.2
PB202512105254,F0115,2022-07-26,6.68,FL-1867,Grade A,27531.79,72.1,4.3
PB202512108722,F0115,2023-06-23,2.73,3797,Premium,25005.46,76.6,3.9
PB202512107945,F0115,2024-01-20,18.03,FL-1867,Premium,21276.02,72.4,1.2
PB202512107099,F0115,2024-05-08,8.89,3797,Grade B,24616.94,80.7,5.2
PB202512103947,F0115,2024-03-31,25.25,FL-1867,Grade A,18007.71,79.0,7.4
PB202512105422,F0115,2023-04-14,6.58,FL-1867,Grade B,21446.28,73.2,2.4
PB202512104212,F0115,2024-06-04,3.97,FL-1867,Grade B,22451.32,76.7,5.1
PB202512101159,F0115,2022-11-03,15.66,FL-1867,Grade A,19307.95,71.0,1.6
PB202512109470,F0116,2024-10-20,9.3,3797,Premium,18626.54,72.6,3.0
PB202512101781,F0116,2024-09-23,5.2,Kufri Chipsona,Grade A,26494.93,70.2,5.5
PB202512101983,F0116,2022-07-22,7.35,FL-1867,Grade B,26389.25,81.2,1.1
PB202512102577,F0116,2023-06-05,3.23,Kufri Chipsona,Grade A,27089.37,75.5,5.0
PB202512106903,F0116,2023-11-17,21.58,3797,Grade A,19753.47,81.2,8.0
PB202512102986,F0116,2023-12-06,23.0,3797,Premium,17010.55,80.6,1.3
PB202512109821,F0116,2023-02-12,10.78,FL-1867,Grade A,21281.7,73.1,2.5
PB202512109363,F0116,2023-08-06,3.11,Kufri Chipsona,Grade A,26872.89,76.0,5.7
PB202512107243,F0116,2024-07-04,3.91,3797,Grade B,26064.32,79.1,3.2
PB202512103373,F0116,2024-08-07,5.29,FL-1867,Grade A,21677.52,81.7,5.5
PB202512107631,F0117,2024-05-13,9.48,FL-2027,Grade A,22427.08,79.4,6.4
PB202512104739,F0117,2022-06-12,7.53,3797,Premium,27725.11,74.7,1.9
PB202512105382,F0117,2023-10-11,21.79,Kufri Chipsona,Grade B,20105.17,76.9,2.4
PB202512106950,F0117,2023-07-10,6.04,Kufri Chipsona,Grade B,22497.52,75.1,5.5
PB202512101378,F0117,2024-04-27,7.96,FL-1867,Premium,21857.8,74.9,2.9
PB202512102311,F0117,2023-04-26,3.59,FL-1867,Grade B,26267.1,80.9,3.6
PB202512102565,F0117,2022-12-08,23.78,FL-2027,Grade A,21278.97,80.2,2.3
PB202512101431,F0117,2024-08-27,9.65,Kufri Chipsona,Grade A,23013.41,74.1,1.4
PB202512102363,F0117,2024-12-09,17.15,FL-2027,Grade B,15763.1,73.0,3.2
PB202512107387,F0118,2022-11-15,25.22,3797,Premium,21128.42,73.6,7.0
PB202512105655,F0118,2023-04-15,8.86,Kufri Chipsona,Premium,26117.21,71.8,5.8
PB202512103795,F0118,2022-09-16,9.56,FL-2027,Premium,25460.32,74.0,4.5
PB202512106328,F0118,2022-03-13,21.14,Kufri Chipsona,Grade B,18573.99,71.4,3.2
PB202512109856,F0118,2024-08-14,8.42,3797,Grade C,26891.34,71.6,7.7
PB202512109835,F0118,2024-06-30,4.63,FL-1867,Premium,25298.51,79.0,6.7
PB202512108126,F0118,2024-07-24,9.57,3797,Grade A,22503.36,80.3,1.9
PB202512104721,F0118,2023-12-13,22.63,FL-2027,Grade A,20193.84,78.1,2.8
PB202512105256,F0119,2023-09-23,8.98,FL-1867,Grade A,21350.87,70.6,6.0
PB202512109574,F0119,2023-09-14,5.8,FL-1867,Premium,26792.78,74.6,2.2
PB202512109767,F0119,2023-12-06,25.91,FL-2027,Grade A,18842.37,72.3,6.0
PB202512108816,F0119,2024-10-04,17.78,3797,Grade C,19230.19,75.5,6.8
PB202512105799,F0119,2022-01-19,25.74,FL-1867,Grade B,19965.72,71.3,6.9
PB202512104089,F0119,2022-01-15,21.78,Kufri Chipsona,Grade A,19879.17,74.4,7.2
PB202512103675,F0119,2024-06-14,7.8,Kufri Chipsona,Grade A,20900.72,74.9,7.2
PB202512102297,F0119,2024-02-14,6.18,Kufri Chipsona,Premium,21729.92,78.1,5.4
PB202512105454,F0119,2023-05-06,4.16,3797,Grade A,21990.33,81.3,3.1
PB202512107765,F0119,2024-12-25,24.39,FL-1867,Grade B,17751.85,71.7,1.1
PB202512105744,F0119,2022-05-21,6.35,FL-2027,Premium,27806.23,74.4,3.5
PB202512109060,F0120,2024-07-16,4.75,FL-1867,Grade A,24164.35,75.3,7.2
PB202512101813,F0120,2023-10-19,17.64,FL-2027,Premium,18554.3,71.7,7.9
PB202512105622,F0120,2023-01-16,11.25,3797,Grade C,15513.55,78.0,5.2
PB202512101134,F0120,2022-09-14,5.32,FL-1867,Grade B,23377.54,79.4,2.4
PB202512109086,F0120,2022-07-04,8.56,FL-1867,Premium,25189.98,75.0,4.2
PB202512109165,F0120,2023-12-02,11.42,3797,Grade A,20264.8,76.2,3.2
